customerID,tenure,MonthlyCharges,SeniorCitizen,gender,Partner,Dependents,InternetService,Contract,PaperlessBilling,PaymentMethod,Churn,PhoneService,MultipleLines
a9048160,56,25.2182024797829,0,Female,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,Yes,Yes
b718c065,0,58.11710313934839,0,Female,No,No,DSL,Month-to-month,Yes,Mailed check,Yes,Yes,No
892b3f9b,0,67.56439153128647,0,Female,No,No,DSL,One year,Yes,Electronic check,No,No,Yes
9e7e4836,11,19.114124292408018,1,Male,Yes,No,No,Month-to-month,No,Mailed check,Yes,No,No
c4cac00e,22,21.68220852541165,0,Female,No,No,No,One year,No,Credit card (automatic),No,Yes,Yes
0fcebe83,21,63.45145752223069,0,Female,No,No,Fiber optic,Month-to-month,Yes,Electronic check,No,No,No
58c04408,30,62.10340335339926,0,Male,Yes,Yes,DSL,One year,No,Electronic check,No,Yes,Yes
43f47687,6,81.85024809525389,0,Female,No,No,Fiber optic,Month-to-month,Yes,Electronic check,No,Yes,No
4c8262b8,0,64.8943521907161,1,Male,No,No,DSL,Month-to-month,No,Bank transfer (automatic),Yes,Yes,Yes
068d4947,28,77.6469069621898,0,Male,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),Yes,No,Yes
fe639cda,59,99.0392787802895,0,Female,No,No,Fiber optic,One year,Yes,Electronic check,No,Yes,Yes
fd415597,0,70.3988554275417,0,Female,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,Yes,Yes,No
6021f5a9,2,26.734222193035514,0,Female,No,No,DSL,Month-to-month,No,Bank transfer (automatic),No,No,No
d8288c7d,22,51.13918495678724,0,Male,No,No,DSL,Month-to-month,No,Mailed check,No,No,Yes
24b64372,51,99.84888865231866,0,Male,No,No,Fiber optic,One year,No,Electronic check,No,Yes,No
87b4372a,26,22.007156189289148,0,Male,Yes,Yes,No,Two year,No,Mailed check,No,No,Yes
98b53735,67,103.81652543705503,1,Female,Yes,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),No,Yes,Yes
afe20312,13,24.13648168878089,0,Male,No,No,DSL,Month-to-month,Yes,Bank transfer (automatic),No,No,No
34ca16a4,10,20.364145238345664,0,Female,Yes,Yes,No,Two year,No,Mailed check,No,No,Yes
a3a3df43,10,19.116448186883478,0,Male,No,No,No,One year,No,Mailed check,No,No,Yes
f17de848,12,80.01488763704398,0,Female,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),No,No,Yes
cae7d79f,65,69.53383755728207,1,Male,No,No,DSL,Two year,Yes,Bank transfer (automatic),No,Yes,Yes
621e2d64,2,53.971298538050334,0,Female,No,No,DSL,Month-to-month,Yes,Electronic check,No,Yes,Yes
bc66d66f,8,89.759290532842,0,Male,No,No,Fiber optic,Month-to-month,Yes,Electronic check,Yes,Yes,Yes
61dce573,2,70.24267192740726,1,Female,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,Yes,No,No
a1dfe5f3,58,68.26897348835674,1,Female,No,No,DSL,Two year,No,Bank transfer (automatic),No,Yes,No
850625b7,45,18.877024928598733,0,Male,No,No,No,Two year,No,Mailed check,No,No,Yes
2188e9c5,48,85.31257815254519,0,Male,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,No,Yes,Yes
8ab438e7,21,19.771367664251486,0,Male,No,No,No,Month-to-month,No,Mailed check,No,Yes,No
88df9bd8,70,21.08562816224911,0,Female,No,No,No,Two year,No,Bank transfer (automatic),No,Yes,No
77bd1c49,32,80.39138666658457,0,Female,No,No,DSL,One year,No,Mailed check,No,No,No
7b2e22e6,65,54.58473989512913,0,Female,No,No,DSL,One year,No,Credit card (automatic),No,Yes,Yes
af2ccf0f,3,45.37482217331656,0,Female,No,No,DSL,Month-to-month,Yes,Credit card (automatic),No,No,Yes
6dc072a4,9,74.9748251279493,0,Female,No,Yes,DSL,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes
291a4f21,53,113.14264077479666,0,Male,Yes,No,Fiber optic,Two year,Yes,Electronic check,No,No,Yes
ac43bc01,68,18.139079968358857,0,Female,Yes,Yes,No,Two year,No,Credit card (automatic),No,Yes,Yes
43e86bc2,40,23.321216321009587,0,Female,No,No,No,One year,Yes,Mailed check,No,Yes,Yes
6ecdaded,13,67.87738589806524,0,Female,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),No,No,No
f292d979,32,104.98497715689142,1,Female,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),Yes,Yes,No
f7e4fd6b,8,20.307553732370533,0,Male,No,No,No,Month-to-month,No,Mailed check,No,Yes,Yes
4b4329d9,38,108.33290834601915,0,Male,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),No,Yes,No
1915d1be,5,21.934361248093076,0,Female,No,No,No,Month-to-month,Yes,Mailed check,No,Yes,No
e7564878,58,97.82325855521353,1,Female,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),Yes,Yes,Yes
0299b589,66,21.52855504546611,0,Male,No,Yes,No,Two year,No,Credit card (automatic),No,Yes,No
43560c7e,0,75.22603534283739,0,Male,No,No,Fiber optic,Month-to-month,Yes,Electronic check,Yes,No,Yes
6673d7e9,74,125.52938679232165,1,Male,Yes,No,Fiber optic,Two year,Yes,Mailed check,No,No,Yes
ebe53f03,58,32.9990643565001,0,Male,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),No,Yes,Yes
3a1fbd1a,12,21.974477960346512,0,Female,No,Yes,No,Month-to-month,No,Credit card (automatic),Yes,No,Yes
128edbc8,68,88.60393571470271,0,Male,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,No,Yes,Yes
9c6f0523,2,32.2938558462237,0,Male,No,No,DSL,Month-to-month,Yes,Electronic check,Yes,Yes,Yes
ee808d53,9,27.16229063159165,0,Female,Yes,Yes,No,Two year,No,Credit card (automatic),No,No,No
732df5e4,52,39.03974764934808,0,Male,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,No,No,No
