customerID,tenure,MonthlyCharges,SeniorCitizen,gender,Partner,Dependents,InternetService,Contract,PaperlessBilling,PaymentMethod,Churn,PhoneService,MultipleLines
0d193ffe,5,46.305678713692224,0,Male,Yes,Yes,DSL,Month-to-month,No,Electronic check,No,No,Yes
b8b4e0fb,26,24.83454119931271,0,Female,No,No,No,Two year,No,Credit card (automatic),No,Yes,No
ad36a2ca,0,59.1603355903827,0,Female,No,No,DSL,Month-to-month,Yes,Mailed check,Yes,Yes,Yes
53541978,59,96.24068193763297,0,Female,No,No,Fiber optic,One year,Yes,Electronic check,No,No,Yes
21ef7196,54,111.89588140913112,0,Male,Yes,No,Fiber optic,Two year,No,Bank transfer (automatic),Yes,No,Yes
f59febc6,69,18.02043562242908,0,Male,No,No,No,Two year,Yes,Bank transfer (automatic),No,No,Yes
1804b428,21,79.26680897358384,0,Female,Yes,Yes,Fiber optic,One year,No,Bank transfer (automatic),No,Yes,No
b12201d9,62,23.16300942044658,0,Male,Yes,Yes,No,Two year,Yes,Mailed check,No,No,No
ea841b39,54,102.46509298403562,0,Male,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,No,Yes,Yes
d707d5d1,4,42.485518731798734,1,Male,No,No,DSL,Month-to-month,No,Mailed check,Yes,Yes,No
97b5819d,58,49.859326190884666,0,Female,Yes,Yes,DSL,One year,Yes,Bank transfer (automatic),No,Yes,Yes
4fc737df,20,25.031295253249322,0,Male,No,No,DSL,Month-to-month,No,Mailed check,No,Yes,Yes
a5ebfee3,8,32.08194981998605,0,Female,Yes,Yes,DSL,Month-to-month,No,Electronic check,No,No,Yes
41d008aa,9,95.71302527771337,0,Female,No,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),Yes,No,No
efd1f923,37,35.63750112641062,0,Female,No,No,DSL,Month-to-month,Yes,Mailed check,No,Yes,Yes
9219350f,60,113.41667307868323,0,Female,No,No,Fiber optic,One year,Yes,Credit card (automatic),No,Yes,Yes
9df6777a,42,97.93220049752617,0,Female,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),No,Yes,No
5ac21b9a,66,115.72818765593172,0,Male,Yes,Yes,Fiber optic,One year,Yes,Electronic check,No,No,No
8a6a8ef5,1,49.574830560548236,0,Female,No,No,DSL,Month-to-month,Yes,Electronic check,Yes,Yes,Yes
ef8cdb8d,29,43.73842038468082,0,Male,No,No,DSL,Month-to-month,No,Electronic check,No,No,No
bd1a2a34,72,26.19919426476045,0,Male,Yes,No,No,Two year,No,Mailed check,No,Yes,No
f51bd146,22,19.141608144631153,0,Female,No,No,No,One year,No,Credit card (automatic),No,Yes,Yes
b0974e64,69,26.409316906543356,0,Male,Yes,Yes,No,Two year,No,Bank transfer (automatic),No,Yes,No
df226815,3,21.159794719842065,0,Male,No,Yes,No,Month-to-month,Yes,Mailed check,No,No,No
b7b438a7,40,106.35077359431878,0,Male,No,No,Fiber optic,Month-to-month,Yes,Electronic check,No,No,No
c5c36f0f,24,101.81921316899329,0,Male,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,Yes,No,Yes
18428573,22,78.34461652332035,0,Female,No,Yes,DSL,Month-to-month,Yes,Mailed check,No,No,No
3df3e579,11,42.90303672124682,0,Female,No,No,DSL,Month-to-month,No,Mailed check,No,Yes,Yes
fbb42487,72,107.61457969467911,0,Male,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),No,Yes,No
f3fdc36e,69,23.992663757674418,0,Male,Yes,No,No,Two year,No,Credit card (automatic),No,No,No
762dda06,21,90.82742112516672,0,Female,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),No,No,Yes
33af52f5,4,58.453553881916584,0,Female,No,No,DSL,Month-to-month,Yes,Electronic check,No,No,Yes
c58cace6,13,47.838704320545645,0,Male,No,No,DSL,Month-to-month,No,Electronic check,Yes,Yes,Yes
29a4fce4,27,20.061742172753032,0,Male,No,No,No,One year,No,Mailed check,No,Yes,Yes
abe8d50d,15,60.029803401220036,0,Male,No,No,DSL,Two year,No,Mailed check,No,No,No
307ae7df,3,88.29379944965045,0,Male,No,No,Fiber optic,Month-to-month,Yes,Electronic check,No,No,No
20f700e0,15,20.458456285629964,0,Female,Yes,Yes,No,Two year,No,Mailed check,No,Yes,No
84520874,26,78.85627139052806,0,Female,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),No,No,Yes
e727a089,50,20.730148814914326,0,Female,No,Yes,No,Two year,No,Credit card (automatic),No,Yes,No
87531008,40,20.345551040529614,0,Female,Yes,No,No,Two year,No,Mailed check,No,No,Yes
0200897f,16,91.25734214985303,0,Male,No,No,Fiber optic,Month-to-month,No,Credit card (automatic),No,No,Yes
12e59559,1,20.950060375575777,0,Male,No,No,No,Month-to-month,No,Mailed check,No,No,Yes
513b9c37,2,20.205228575251184,0,Female,No,No,No,Month-to-month,No,Mailed check,No,No,No
b3aaab52,2,22.17575762770371,0,Female,No,No,No,Month-to-month,No,Mailed check,Yes,No,Yes
36427602,71,125.49218315523444,0,Male,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),No,No,No
